Category	Date	PdDistrict	X	Y	Location
VEHICLE THEFT	9/7/17	INGLESIDE	-122.4470953	37.71112255	"(37.7111225502685, -122.44709528961494)"
VEHICLE THEFT	9/24/17	NORTHERN	-122.4177779	37.78030899	"(37.78030898934026, -122.4177779326192)"
VEHICLE THEFT	10/2/17	NORTHERN	-122.427742	37.7962198	"(37.796219799473384, -122.42774201407535)"
VEHICLE THEFT	10/19/17	TARAVAL	-122.5038045	37.7529799	"(37.75297989955325, -122.50380452627724)"
VEHICLE THEFT	10/21/17	MISSION	-122.4157813	37.75883121	"(37.75883121346786, -122.4157812815926)"
VEHICLE THEFT	10/25/17	INGLESIDE	-122.4237471	37.7237214	"(37.7237213961935, -122.42374711698116)"
VEHICLE THEFT	11/10/17	INGLESIDE	-122.4301947	37.72352051	"(37.72352050859987, -122.43019470026076)"
VEHICLE THEFT	11/11/17	NORTHERN	-122.4224425	37.7829271	"(37.78292710069017, -122.4224425308211)"
VEHICLE THEFT	1/26/17	BAYVIEW	-122.388275	37.72444057	"(37.72444057453729, -122.38827504487075)"
VEHICLE THEFT	3/4/17	INGLESIDE	-122.4171648	37.74706221	"(37.747062207845055, -122.41716479197761)"
VEHICLE THEFT	3/5/17	INGLESIDE	-122.4006502	37.71976299	"(37.71976299372231, -122.40065024922026)"
VEHICLE THEFT	11/11/17	CENTRAL	-122.4106497	37.79930231	"(37.79930231032991, -122.41064966489778)"
VEHICLE THEFT	4/13/17	TENDERLOIN	-122.4163216	37.78602709	"(37.78602709309077, -122.41632162085476)"
VEHICLE THEFT	10/17/17	MISSION	-122.429789	37.76665215	"(37.766652147476215, -122.4297889869883)"
VEHICLE THEFT	2/3/17	BAYVIEW	-122.3908197	37.76420072	"(37.76420071608683, -122.3908197324596)"
VEHICLE THEFT	6/8/17	SOUTHERN	-122.4076149	37.77648727	"(37.77648726657481, -122.40761488599648)"
VEHICLE THEFT	11/12/17	INGLESIDE	-122.4411561	37.71393196	"(37.713931955332264, -122.44115614406995)"
VEHICLE THEFT	2/16/17	BAYVIEW	-122.4006266	37.75462932	"(37.75462932109973, -122.40062659905406)"
VEHICLE THEFT	2/5/17	MISSION	-122.4120562	37.76098991	"(37.760989908914176, -122.41205624240479)"
VEHICLE THEFT	11/14/17	MISSION	-122.4131423	37.75416586	"(37.75416585717654, -122.4131423131198)"
VEHICLE THEFT	3/22/17	INGLESIDE	-122.4148286	37.7359648	"(37.735964800095736, -122.41482860153668)"
VEHICLE THEFT	11/15/17	INGLESIDE	-122.4071395	37.71286229	"(37.71286229324432, -122.40713947252287)"
VEHICLE THEFT	9/8/17	SOUTHERN	-122.4126203	37.77702593	"(37.77702592717966, -122.4126202580058)"
VEHICLE THEFT	2/8/17	NORTHERN	-122.4312033	37.76844569	"(37.76844569395111, -122.4312032912503)"
VEHICLE THEFT	11/17/17	TARAVAL	-122.4723219	37.72162217	"(37.721622172626056, -122.47232191270493)"
VEHICLE THEFT	11/17/17	MISSION	-122.4179645	37.75869682	"(37.75869681664891, -122.41796448376013)"
VEHICLE THEFT	11/13/17	MISSION	-122.4136717	37.74825687	"(37.74825687056468, -122.41367167059342)"
VEHICLE THEFT	11/19/17	BAYVIEW	-122.3972897	37.74968371	"(37.74968370593159, -122.39728968381614)"
VEHICLE THEFT	2/18/17	INGLESIDE	-122.4048444	37.71321724	"(37.7132172373649, -122.4048443502447)"
VEHICLE THEFT	2/18/17	RICHMOND	-122.4753669	37.78523571	"(37.785235711069035, -122.4753669476841)"
VEHICLE THEFT	3/15/17	NORTHERN	-122.4387233	37.80055836	"(37.80055835588891, -122.43872325496001)"
VEHICLE THEFT	10/28/17	PARK	-122.4387376	37.77154117	"(37.77154117205775, -122.43873762275734)"
VEHICLE THEFT	11/19/17	CENTRAL	-122.4013818	37.79570218	"(37.79570217595584, -122.40138180035001)"
VEHICLE THEFT	6/7/17	RICHMOND	-122.4777661	37.77286068	"(37.77286067602183, -122.4777660567278)"
VEHICLE THEFT	2/14/17	MISSION	-122.436992	37.75267212	"(37.752672119257156, -122.43699195676668)"
VEHICLE THEFT	3/1/17	SOUTHERN	-122.4112792	37.77157858	"(37.77157857650432, -122.41127918996864)"
VEHICLE THEFT	11/1/17	TARAVAL	-122.4763839	37.73105364	"(37.73105364237831, -122.47638390485072)"
VEHICLE THEFT	3/2/17	INGLESIDE	-122.435917	37.72983713	"(37.729837134120835, -122.43591698470368)"
VEHICLE THEFT	2/24/17	INGLESIDE	-122.440226	37.72864075	"(37.72864075046831, -122.44022601782876)"
VEHICLE THEFT	11/24/17	BAYVIEW	-122.4028575	37.73407383	"(37.73407382634692, -122.40285751312412)"
VEHICLE THEFT	4/4/17	PARK	-122.4416791	37.77737223	"(37.77737222781529, -122.44167909289753)"
VEHICLE THEFT	11/24/17	NORTHERN	-122.4246887	37.78533396	"(37.78533396403063, -122.42468870359127)"
VEHICLE THEFT	11/25/17	SOUTHERN	-122.4236363	37.77155666	"(37.77155665823553, -122.42363627853071)"
VEHICLE THEFT	3/5/17	NORTHERN	-122.4228078	37.79684764	"(37.79684763715162, -122.4228077979912)"
VEHICLE THEFT	3/6/17	INGLESIDE	-122.4312527	37.72510727	"(37.72510726550519, -122.43125274665474)"
VEHICLE THEFT	11/26/17	NORTHERN	-122.4374323	37.80309558	"(37.80309557529224, -122.43743231727268)"
VEHICLE THEFT	11/26/17	SOUTHERN	-122.3915888	37.77969101	"(37.779691013765785, -122.39158881697465)"
VEHICLE THEFT	11/26/17	CENTRAL	-122.4121433	37.8067579	"(37.80675790231059, -122.41214331058599)"
VEHICLE THEFT	11/27/17	TARAVAL	-122.4616832	37.72518972	"(37.72518972367484, -122.46168315955899)"
VEHICLE THEFT	11/29/17	INGLESIDE	-122.4091016	37.74722694	"(37.74722694363431, -122.40910158619725)"
VEHICLE THEFT	11/29/17	TARAVAL	-122.4887741	37.76209716	"(37.76209716406631, -122.48877411188226)"
VEHICLE THEFT	3/12/17	PARK	-122.4438369	37.7713566	"(37.77135659902666, -122.44383692890528)"
VEHICLE THEFT	3/13/17	MISSION	-122.4110908	37.76170098	"(37.76170097817342, -122.41109079458093)"
VEHICLE THEFT	3/15/17	MISSION	-122.4440339	37.74837287	"(37.74837286937644, -122.44403387420152)"
VEHICLE THEFT	10/15/17	MISSION	-122.4106001	37.76753256	"(37.76753255940308, -122.41060010346314)"
VEHICLE THEFT	12/6/17	PARK	-122.4490762	37.76687224	"(37.76687224188123, -122.44907615562306)"
